name,price,listings
Maraxiform's Ire,$ 0.18,164 on sale
Pale Augur,$ 0.59,72 on sale
Catalyst Cap,$ 0.35,21 on sale
Inscribed Focal Resonance,$ 3.1,103 on sale
Acid Hydra,$ 0.36,6 on sale
Adoring Wingfall,$ 0.43,85 on sale
Aghanim's Basher,$ 1.41,24 on sale
Almond the Frondillo,$ 1.77,186 on sale
Bitter Lineage,$ 2.01,173 on sale
Severing Lash,$ 0.72,131 on sale
Heroic Headdress of the Ember Crane,$ 0.27,9 on sale
Inscribed Strongback the Swift,$ 8.65,5 on sale
Inscribed The Order of Cyprin,$ 0.52,21 on sale
Mandate of the Stormborn,$ 1.1,204 on sale
Inscribed The Lightning Orchid,$ 1.17,183 on sale
Off-Hand Weapon of the Forgotten Plane,$ 0.35,21 on sale
Glaive of Oscilla,$ 2.12,60 on sale
Hydrakan Latch,$ 1.37,164 on sale
Golden Edge of the Lost Order,$ 0.84,273 on sale
Wings of the Foulfell Corruptor,$ 1.1,29 on sale
Armor of the Foulfell Corruptor,$ 4.86,31 on sale
Autographed Mantle of the Whispered Bond,$ 1.06,52 on sale
Inscribed Fin King's Charm,$ 1.18,113 on sale
Autographed Tail of Elder Convergence,$ 2.36,1 on sale
Autographed Helm of Unfettered Malevolence,$ 2.36,2 on sale
Tiny Frostmoot,$ 3.93,28 on sale
Large Frostmoot,$ 7.23,7 on sale
Small Frostmoot,$ 2.52,25 on sale
Medium Frostmoot,$ 2.66,15 on sale
Fluttering Mortis,$ 0.89,9 on sale
Golden Crucible of Rile,$ 0.36,349 on sale
Paragon's Rebuke,$ 0.16,167 on sale
Phantom Concord,$ 0.36,219 on sale
Mane of the Sunwarrior,$ 1.44,69 on sale
Mecha Boots of Travel Mk III,$ 0.45,33 on sale
Hidden Vector - Hat,$ 2.53,23 on sale
Apogee of the Guardian Flame,$ 2.45,268 on sale
Reaper's Wreath,$ 2.16,349 on sale
Affront of the Overseer,$ 1.17,22 on sale
Chains of Vile Convocation,$ 1.22,19 on sale
Genuine Serrakura,$ 2.41,131 on sale
Maraxiform's Fate Bundle,$ 0.3,267 on sale
Golden Piscean Pulverizer,$ 1.41,130 on sale
Relic Blade of the Kuur-Ishiminari,$ 0.39,32 on sale
The Spoils of Dezun,$ 1.68,80 on sale
Surly Bogstomper Fishclub,$ 0.4,18 on sale
Armor of Dirgesworn Dynasty,$ 0.78,3 on sale
Helm of Dirgesworn Dynasty,$ 0.47,7 on sale
Winter Lineage Hunter's Dawn Torch,$ 0.37,4 on sale
Little Blink Dagger,$ 0.8,32 on sale
Crown of Vile Convocation,$ 2.34,12 on sale
Trove Carafe 2019,$ 2.38,553 on sale
Inscribed Sullen Hollow,$ 6.87,77 on sale
Taunt: Skip to the Good Stuff!,$ 1.68,65 on sale
Daughters of Hydrophiinae,$ 0.78,99 on sale
Inscribed Empyrean,$ 4.87,47 on sale
Taunt: Deadly Grace,$ 0.76,78 on sale
Pauldrons of Zebulon,$ 0.25,17 on sale
Autographed Mask of the Confidant,$ 0.64,38 on sale
Taunt: Fit to Rule,$ 0.45,97 on sale
Hidden Vector - Belt,$ 1.89,26 on sale
Hidden Vector - Armor,$ 1.84,64 on sale
Taunt: Not Just Your Average Bear,$ 0.67,92 on sale
Inscribed The Barren Crown,$ 0.64,122 on sale
Taunt: Thorns and All,$ 1.07,46 on sale
The Barren Vector,$ 0.5,125 on sale
Fury of the Damned,$ 0.63,24 on sale
Inscribed Wyrmwrought Flare,$ 0.67,15 on sale
Autographed Staff of the Dragon Palace,$ 0.75,2 on sale
Medium Scarlet Quarry,$ 0.23,16 on sale
Small Scarlet Quarry,$ 0.17,24 on sale
Inscribed Reaper's Wreath,$ 2.33,52 on sale
Inscribed Orb of Deliverance,$ 0.77,28 on sale
Inscribed Pyrexaec Floe,$ 7.09,17 on sale
Heroic Wings of Obelis Staff,$ 0.31,1 on sale
Mask of the Forgotten Plane,$ 1.26,64 on sale
Taunt: Cat Wrangler,$ 0.26,74 on sale
Auspice of the Whyrlegyge,$ 1.86,180 on sale
Bane of the Deathstalkers - Belt,$ 4.58,14 on sale
Bane of the Deathstalkers - Shoulder,$ 1.89,12 on sale
Bane of the Deathstalkers - Head,$ 3.43,19 on sale
Inscribed Arms of Desolation,$ 2.97,238 on sale
Inscribed Floodmask,$ 2.2,83 on sale
Bracers of Aeons,$ 2.7,349 on sale
Golden Shadow Masquerade,$ 2.84,125 on sale
Genuine Entropic Shoulderpads,$ 1.73,16 on sale
World Chasm Artifact,$ 3.88,95 on sale
Inscribed Mask of the Divine Sorrow,$ 4.65,7 on sale
Coat of Fantoccini's Dilemma,$ 5.47,27 on sale
Draining Wight,$ 0.47,10 on sale
Honor of the Temple of the Fallen Sun,$ 1.26,77 on sale
Tiny Scarlet Quarry,$ 0.2,30 on sale
Cannon of the Occultist's Pursuit,$ 2.38,24 on sale
Hood of Glorious Inspiration,$ 0.18,4 on sale
Inscribed Shards of Exile,$ 5.45,62 on sale
Inscribed Swift Claw,$ 7.72,76 on sale
Harmonies of New Bloom Music Pack,$ 0.23,13 on sale
Orb of Reminiscence,$ 0.31,30 on sale
Inscribed Righteous Thunderbolt,$ 7.62,106 on sale
Magus Accord,$ 6.68,96 on sale
Yulsaria's Mantle,$ 0.18,153 on sale
Golden Profane Union,$ 0.64,322 on sale
Heroic Infesting Incubator,$ 3.46,2 on sale
Wyrmwrought Flare,$ 0.42,272 on sale
The Barren Crown,$ 0.76,27 on sale
Exalted Call of the Bladeform Legacy,$ 1.07,28 on sale
Heroic Snowdrop Tassels,$ 6.29,2 on sale
Inscribed Battle Banner of the Masked,$ 1.14,68 on sale
Arsenal of the Bladekeeper,$ 0.46,24 on sale
Shadow in the Deep Back,$ 4.71,17 on sale
Bracer of Eternal Night,$ 0.39,16 on sale
Blade of the Survivor,$ 1.94,38 on sale
Empyrean,$ 4.74,27 on sale
Alluvion Prophecy,$ 1.27,124 on sale
Arms of Desolation,$ 3.09,58 on sale
Belt of the Survivor,$ 2.88,31 on sale
Bracers of the Survivor,$ 5.09,30 on sale
Shearing Deposition,$ 0.57,123 on sale
Shoulders of the Survivor,$ 1.38,30 on sale
Skywarrior's Countenance,$ 1.94,14 on sale
Solar Forge,$ 1.24,171 on sale
Taunt: Heavenly Jump!,$ 0.23,68 on sale
Gauntlet of the Treacherous Demon,$ 0.2,25 on sale
Genuine Claddish Cudgel,$ 6.38,35 on sale
Genuine Fluttering Staff,$ 0.4,90 on sale
Genuine White Sentry,$ 0.7,16 on sale
Helm of the Elemental Imperator,$ 0.62,25 on sale
Taunt: Get Burned,$ 0.53,52 on sale
Touch of the Bewitching Flare,$ 0.24,56 on sale
The Hallows Within,$ 8.05,19 on sale
Heroic Chronite Scepter,$ 1.57,3 on sale
Immortal Treasure I 2017,$ 0.73,264 on sale
Heroic Bracers of the Tentacular Timelord,$ 0.78,6 on sale
Heroic Sceptre of the Throne,$ 0.63,4 on sale
Heroic Staff of Divine Ascension,$ 0.25,3 on sale
Pelt of Odocoeleus,$ 0.69,14 on sale
Inscribed Gauntlets of Sacred Light,$ 0.23,5 on sale
Bracers of the Sea Djinn,$ 0.27,10 on sale
Heroic Bright Moon Jeonmo,$ 0.74,6 on sale
Heroic Emerald Frenzy Flail,$ 0.86,2 on sale
Heroic Hood of the Demonic Vessel,$ 0.53,4 on sale
Heroic Noctis the Heavenly Qilin Guardian,$ 0.38,5 on sale
Concord Dominion,$ 2.75,194 on sale
Winds of Conquest,$ 0.64,31 on sale
Infused Armor of the Fearful Aria,$ 2.81,91 on sale
Azuremir,$ 0.45,19 on sale
Blades of the Foulfell Corruptor,$ 4.9,57 on sale
Infused Tunic of the Wandering Flame,$ 2.89,41 on sale
Kinetic: Bladekeeper's Omnislash,$ 0.71,15 on sale
Taunt: Backstroke!,$ 0.27,110 on sale
Headdress of the Rekindled Ashes,$ 0.24,49 on sale
Savage Mettle,$ 0.24,196 on sale
Glare of the Tyrant,$ 0.22,294 on sale
The Order of Cyprin,$ 0.25,256 on sale
Unbroken Fealty,$ 0.57,235 on sale
Autographed Ice Blossom,$ 0.84,51 on sale
Mantle of the Whispered Bond,$ 1.1,153 on sale
Wraithbinder,$ 0.41,204 on sale
Chaos Arbiter,$ 1.55,160 on sale
Mask of the Confidant,$ 0.65,155 on sale
Tempest Revelation,$ 0.3,186 on sale
Astral Drift,$ 3.11,297 on sale
Bloodfeather Feast,$ 0.23,200 on sale
Pyrexaec Flux,$ 0.3,139 on sale
Edge of the Lost Order,$ 0.41,194 on sale
Malefic Drake's Strike,$ 0.26,150 on sale
Arsenal of the Demonic Vessel,$ 5.75,10 on sale
Mantle of the Cinder Baron,$ 0.99,122 on sale
Autographed Cult of Aktok,$ 1.74,36 on sale
Mask of the Hunt Eternal,$ 1.18,34 on sale
Arena Champion Armor,$ 1.62,37 on sale
Infused Claws of the Ferocious Heart,$ 3.07,84 on sale
Infused Gauntlet of the Infernal Rambler,$ 1.82,24 on sale
Unusual Blazing Hatchling,$ 2.07,312 on sale
Span of the Temple of the Fallen Sun,$ 0.94,27 on sale
Robe of the Winter Revenant,$ 0.27,8 on sale
Golden Ice Blossom,$ 2.36,183 on sale
Monarch of the Sapphire Glen,$ 0.68,212 on sale
Orb of Deliverance,$ 0.75,136 on sale
Masque of Awaleb,$ 3.99,71 on sale
Bonkers of Awaleb,$ 1.28,60 on sale
Inscribed Resistive Pinfold,$ 0.46,99 on sale
Inscribed Sufferwood Sapling,$ 0.5,89 on sale
Yulsaria's Glacier,$ 1.06,86 on sale
Loft Watcher,$ 9.54,6 on sale
Mulctant Pall,$ 6.57,89 on sale
Inscribed Yulsaria's Mantle,$ 0.28,25 on sale
Offhand Blade of the Survivor,$ 1.97,37 on sale
Origins of Faith,$ 2.48,190 on sale
Overseer's Burden,$ 0.69,2 on sale
Wardfish,$ 0.19,5 on sale
Taunt: Timeless Classic,$ 0.63,105 on sale
Blastforge Exhaler,$ 0.27,142 on sale
Malefic Drake's Hood,$ 0.59,211 on sale
Genuine Weather Spring,$ 0.27,79 on sale
Iceflight Edifice,$ 0.23,121 on sale
Stuntwood Sanctuary,$ 0.2,146 on sale
Taunt: Bananadancer,$ 0.47,57 on sale
Dame de Carreau,$ 0.22,17 on sale
Gifts of the Vanished Isle Head,$ 0.18,12 on sale
Headpiece of the Wuxia,$ 0.17,19 on sale
Shadow in the Deep Helm,$ 4.06,37 on sale
Searing Dominator,$ 0.92,42 on sale
The Witch Hunter,$ 0.33,38 on sale
Inscribed Atomic Ray Thrusters,$ 0.74,110 on sale
Wrath of Ka Cursor Pack,$ 0.27,18 on sale
Inscribed Corpse Hive of Grim Reformation,$ 6.74,4 on sale
Inscribed Draining Wight,$ 0.31,46 on sale
Inscribed Helm of Grim Reformation,$ 1.99,5 on sale
Inscribed Iron Surge,$ 1,68 on sale
Inscribed Pale Mausoleum,$ 3.03,43 on sale
Cyclopean Marauder,$ 0.42,22 on sale
Dreadhawk Armor,$ 0.31,21 on sale
Vanquishing Demons General,$ 0.53,17 on sale
Scree'auk's Talon,$ 5.91,30 on sale
Worship of the Sleepless Sect,$ 0.84,43 on sale
Inscribed Eye of Omoz,$ 0.23,73 on sale
Belt of the King Restored,$ 0.71,58 on sale
Genuine Moonrift,$ 0.24,15 on sale
Genuine Winterblight,$ 1.33,61 on sale
Pachyderm Powderwagon,$ 6.13,26 on sale
Inscribed Latticean Shards,$ 2.7,21 on sale
Genuine The Golden Barb of Skadi,$ 2.67,79 on sale
Shadow in the Deep Bracers,$ 4.72,21 on sale
Autographed Trove Carafe 2019 Autographed by Bing 'kiko' Quan,$ 3.13,26 on sale
Hunger of the Howling Wilds Arms,$ 0.53,9 on sale
Genuine Pale Edge,$ 3.44,59 on sale
Weapon of the Forgotten Plane,$ 0.34,20 on sale
Autograph: Stephen Dong Suk 'CyNiCaL-' Chung,$ 0.88,1 on sale
Belt of the Coastal Kingdom,$ 0.19,3 on sale
International 2021 Autograph: Ams,$ 0.31,5 on sale
Unusual Determined Greevil,$ 0.85,44 on sale
Inscribed Shock of the Anvil,$ 0.69,97 on sale
Inscribed Tormented Staff,$ 0.54,104 on sale
Inscribed Yulsaria's Glacier,$ 1.03,130 on sale
Mantle of the Blackguard Magus,$ 0.23,15 on sale
Mantle of the Outland Ravager,$ 0.34,12 on sale
Golden Cyrridae,$ 1.79,102 on sale
Piston Impaler,$ 1.69,39 on sale
Armor of the Outland Ravager,$ 0.43,17 on sale
Bracers of the Outland Ravager,$ 0.25,5 on sale
Burning Shield of the Outland Ravager,$ 4.33,18 on sale
Shoulders of the Bladesrunner,$ 0.2,20 on sale
Dragon of the Outland Ravager,$ 3.88,16 on sale
Sufferwood Sapling,$ 0.56,42 on sale
Symbol of the King Restored,$ 0.53,32 on sale
Taunt: Beautiful Snowangel,$ 0.34,39 on sale
Taunt: Chicken!,$ 0.16,33 on sale
Taunt: Funk of the Dead,$ 0.55,55 on sale
Taunt: Raging Bull,$ 0.88,145 on sale
Taunt: The Master Juggles,$ 0.33,67 on sale
Siltbreaker Reward,$ 2.48,115 on sale
Gambits of Nishai,$ 1.44,70 on sale
Menace of the Forlorn Maze,$ 1.48,41 on sale
International 2016 Autograph: Toby 'TobiWan' Dawson,$ 0.3,2 on sale
Inscribed Golden Cyrridae,$ 1.96,13 on sale
Pauldrons of the Demon Trickster,$ 5.72,40 on sale
Swine Powder Barrel,$ 1.56,2 on sale
Lycosidae's Favor,$ 0.3,142 on sale
Wings of Daybreak,$ 0.59,152 on sale
Markings of the King Restored,$ 0.25,87 on sale
Inscribed Rollermawster,$ 0.22,101 on sale
Crimson Pique,$ 0.36,155 on sale
Crown of Tears,$ 0.44,191 on sale
Dragon's Breath,$ 0.34,15 on sale
Controlled Burn,$ 0.26,109 on sale
Dark Curator,$ 0.34,24 on sale
Inscribed Fireborn Odachi,$ 0.57,44 on sale
Taunt: Goin' Bananas,$ 2.41,35 on sale
Sanguine Royalty,$ 0.19,54 on sale
Mentor of the High Plains,$ 0.55,8 on sale
Helm of the Outland Ravager,$ 0.46,8 on sale
Frozen Lament of the Slain,$ 0.78,3 on sale
Kinetic: Fireborn Assault,$ 4.98,29 on sale
Thirst of Eztzhok Blade,$ 2.11,29 on sale
Arc of the Sovereign Belt,$ 2.34,5 on sale
Thirst of Eztzhok - Off-Hand,$ 1.57,48 on sale
Taunt: Ghostriding,$ 0.38,67 on sale
Cloak of the Dark Reservoir,$ 5.17,9 on sale
Autographed Crazed Tassels of the Black Death,$ 2.04,9 on sale
Inscribed Tines of Tybara,$ 1.82,32 on sale
Inscribed Pyrexaec Flux,$ 0.4,17 on sale
Iron Surge,$ 1.04,60 on sale
Inscribed First of the Flood,$ 0.44,14 on sale
Inscribed Arms of the Captive Princess,$ 1.57,4 on sale
Inscribed Bitter Lineage,$ 2.31,46 on sale
Fin King's Charm,$ 1.27,17 on sale
Shock of the Anvil,$ 0.72,55 on sale
Inscribed Magus Apex,$ 1.55,94 on sale
Armature of the Belligerent Ram,$ 1.46,24 on sale
Smoldering Journey,$ 2.51,9 on sale
Inscribed Flourishing Lodestar,$ 2.42,29 on sale
Scavenging Guttleslug,$ 0.64,190 on sale
Infused Mantle of the Blackguard Magus,$ 1.44,43 on sale
Inscribed Basher of Mage Skulls,$ 0.64,74 on sale
Inscribed Golden Offhand Basher of Mage Skulls,$ 4.62,51 on sale
Inscribed Chaos Arbiter,$ 1.85,20 on sale
Club of the Igneous Stone,$ 0.37,26 on sale
Autograph: 'Ams',$ 0.61,8 on sale
Taunt: Foolish Gallantry,$ 2.44,16 on sale
Auspicious Kunkka's Shadow Blade,$ 5.08,39 on sale
Dragon Scale,$ 0.16,43 on sale
Golden Scavenging Guttleslug,$ 7.15,93 on sale
Dirgesworn Dynasty,$ 1.13,22 on sale
Corrupted Yulsaria's Mantle,$ 3.13,5 on sale
Corrupted Yulsaria's Glacier,$ 4.72,6 on sale
Plague Baron,$ 0.77,17 on sale
Inscribed Kindred of the Iron Dragon,$ 0.49,140 on sale
Crimson Cyrridae,$ 0.45,123 on sale
Inscribed Mecha Boots of Travel Mk III,$ 0.44,129 on sale
Full-Bore Bonanza,$ 0.34,161 on sale
Golden Chaos Fulcrum,$ 1.23,209 on sale
Beard of the Royal Butcher,$ 0.35,18 on sale
Autographed Grasping Bludgeon,$ 4.43,13 on sale
Autographed Mark of the First Hunt,$ 0.47,9 on sale
Sapphire Sabre-Lynx,$ 1.4,18 on sale
Beyond the Summit HUD,$ 0.28,6 on sale
Bow of the Beholder,$ 0.73,71 on sale
Focal Resonance,$ 3.28,37 on sale
Fan of the Royal Butcher,$ 0.82,38 on sale
Genuine Frost Owl's Beacon,$ 0.19,14 on sale
Genuine Gravelmaw,$ 0.91,12 on sale
Genuine Mania's Mask,$ 3.96,30 on sale
Genuine Nightsilver Gryphon,$ 1.18,7 on sale
Genuine Sven's Revenge,$ 0.17,35 on sale
Infused Blade of Prismatic Grace,$ 0.3,67 on sale
Trappings of the Ravenous Fiend,$ 0.25,13 on sale
Darkwood Witness Belt,$ 0.48,12 on sale
Inscribed Severing Lash,$ 0.87,29 on sale
Inscribed Crystal Dryad,$ 4.1,11 on sale
Announcer: Monkey King,$ 1,20 on sale
Prismatic: Brusque Britches Beige,$ 0.41,39 on sale
Autographed Latticean Hierarchy,$ 0.53,5 on sale
Seven-Sealed the Fur Bracer,$ 0.43,5 on sale
Pack of the Ardalan Interdictor,$ 3.69,31 on sale
Bracers of the Ardalan Interdictor,$ 4.35,26 on sale
Autographed Bracers of the Ardalan Interdictor,$ 5.19,3 on sale
Colar of the Ardalan Interdictor,$ 3.99,14 on sale
Inscribed Golden Basher of Mage Skulls,$ 5.49,47 on sale
Provocation of Ruin Mask,$ 9.44,30 on sale
Provocation of Ruin Bracers,$ 5.69,13 on sale
Executioner's Trophies,$ 0.2,16 on sale
Genuine Molten Claw,$ 4.27,114 on sale
Inscribed Maraxiform's Ire,$ 0.36,27 on sale
Infused Helm of the Dark Moon Stalker,$ 3.7,22 on sale
Humanity's Last Breath: Void Music Pack,$ 3.14,12 on sale
Inscribed Razzil's Midas Knuckles,$ 1.42,139 on sale
Announcer: Rick and Morty,$ 4.32,40 on sale
Genuine Kunkka's Shadow Blade,$ 7.92,31 on sale
Golden Basher of Mage Skulls,$ 5.51,36 on sale
Golden Fortune's Tout,$ 1.74,161 on sale
Staff of Gun-Yu,$ 0.39,182 on sale
Maw of Eztzhok,$ 0.3,190 on sale
Span of Black Nihility,$ 0.31,171 on sale
Heroic Staff of the Malevolent,$ 1.51,2 on sale
Jagged Honor Mask,$ 2.52,33 on sale
Bogmarch Garb,$ 0.47,5 on sale
Agaric Flourish,$ 0.53,22 on sale
Dragon's Ascension,$ 1.73,19 on sale
Voidhammer,$ 7.55,83 on sale
Inscribed Astral Drift,$ 3.66,23 on sale
Yuno Autograph Avatar - The International 2021,$ 0.73,377 on sale
Inscribed Lance of the Lionsguard,$ 0.63,3 on sale
Autograph: Viktor 'GodHunt' Volkov,$ 1.21,2 on sale
Autograph: Wang 'Banana' Jiao,$ 1.73,2 on sale
Inscribed Golden Chaos Fulcrum,$ 1.49,19 on sale
Inscribed Golden Crucible of Rile,$ 0.6,40 on sale
Lineage Broken Scale,$ 0.27,153 on sale
Inscribed Golden Shadow Masquerade,$ 3.06,26 on sale
Pachyderm Powderwagon Elephant,$ 0.93,36 on sale
Gifts of the Vanished Isle Set,$ 1,18 on sale
Golden Offhand Basher of Mage Skulls,$ 4.87,84 on sale
Eye of the Lost Star,$ 0.24,48 on sale
Darktrench Stalker - Misc,$ 2.38,6 on sale
Ice Blossom,$ 0.8,178 on sale
Lineage Armor of the Raidforged Rider,$ 0.22,10 on sale
Mind of Endless Days,$ 0.46,43 on sale
Garb of the Rain Forest Refugee,$ 0.18,6 on sale
Autographed Golden Piscean Pulverizer,$ 1.41,26 on sale
Inscribed Gimlek Decanter,$ 1.71,22 on sale
Inscribed Helm of Zhuzhou,$ 0.18,4 on sale
Inscribed Jewel of Aeons,$ 0.84,297 on sale
Inscribed Merry Wanderer's Brush,$ 0.53,192 on sale
Inscribed Sword of the Bladeform Aesthete,$ 5.01,14 on sale
Inscribed Thirst of Eztzhok - Off-Hand,$ 1.56,41 on sale
Inscribed White Sentry,$ 0.62,37 on sale
Latticean Shards,$ 2.4,80 on sale
Magus Apex,$ 1.67,20 on sale
Verna,$ 0.68,33 on sale
Head of the Apex Explorer,$ 0.3,8 on sale
Flight of the Undying Light,$ 0.81,69 on sale
Inscribed Trap Jaw,$ 1.57,1 on sale
Trail of the Fearful Aria,$ 0.55,34 on sale
Sash of the Fearful Aria,$ 0.19,7 on sale
Kinetic: Torrent of the Divine Anchor,$ 0.83,24 on sale
Exalted Voice of Flockheart's Gamble,$ 0.57,26 on sale
Gimlek Decanter,$ 1.66,124 on sale
Taunt: Make It Rain,$ 0.17,40 on sale
Taunt: To Hell and Back!,$ 0.31,97 on sale
Arena Champion Belt,$ 0.35,6 on sale
Grasping Bludgeon,$ 4.2,22 on sale
Kinetic: Epitaphic Trap,$ 0.39,9 on sale
Lineage Mount of the Raidforged Rider,$ 0.63,38 on sale
Mask of the Demon Trickster,$ 2.13,64 on sale
Inscribed Grasping Bludgeon,$ 4.16,84 on sale
Nimble Edge Set,$ 0.23,24 on sale
Infernus,$ 2.99,4 on sale
Auspicious Heaven-Piercing Pauldrons,$ 5.95,32 on sale
Jagged Honor Legs,$ 5.51,69 on sale
Sword of the Outland Ravager,$ 4.54,23 on sale
Autographed The Order of Cyprin,$ 0.58,15 on sale
Large Scarlet Quarry,$ 0.28,25 on sale
Kinetic: Orb of Reminiscence,$ 0.19,10 on sale
Prismatic: Diretide Orange,$ 3.74,24 on sale
Kinetic: Tidebringer of the Divine Anchor,$ 0.75,31 on sale
Mount of the Winged Sentinel,$ 3.14,56 on sale
Golem of Dirgesworn Dynasty,$ 0.27,15 on sale
Etienne's Revenge,$ 4.03,60 on sale
Humble Drifter,$ 0.43,43 on sale
Garb of Shades,$ 0.2,20 on sale
